feature,importance
total_eth_sent,0.10517762561087737
incoming_value_ratio,0.10034365655292918
avg_tx_value,0.07962166589323931
max_tx_value,0.059823936344675775
std_tx_value,0.05642493654694963
total_eth_received,0.04416576126004537
median_time_between_tx,0.04256279637997097
net_eth_flow,0.042002263096415624
avg_time_between_tx,0.04140809240251006
counterparty_reuse_ratio,0.03874413026747978
total_tx_count,0.0368825014404472
incoming_tx_count,0.036378033534055665
tx_frequency,0.03611131507438625
max_time_between_tx,0.034572117824757394
median_tx_value,0.030988890727860555
distinct_active_days,0.025388869282151075
in_out_tx_ratio,0.025197774732545267
zero_value_tx_ratio,0.022982000508536504
activity_span_days,0.02258914038733205
burstiness,0.020468667500730613
outgoing_tx_count,0.018878216384524138
unique_counterparties,0.01727925595070712
unique_receivers,0.016883810293145566
external_tx_ratio,0.015560331720115759
unique_senders,0.014957375881152358
internal_tx_ratio,0.014606834402459391
