feature,importance
total_eth_sent,0.10432487379132438
incoming_value_ratio,0.09575378484768753
avg_tx_value,0.07080575905076116
max_tx_value,0.06435533743662405
std_tx_value,0.05980781467590503
net_eth_flow,0.05179158003774459
median_time_between_tx,0.04657037705071655
incoming_tx_count,0.04401866900643533
avg_time_between_tx,0.04134047964895362
total_eth_received,0.04074583174771432
tx_frequency,0.03585448371824985
total_tx_count,0.035698734068222285
counterparty_reuse_ratio,0.03511017573334542
in_out_tx_ratio,0.03245274491472919
max_time_between_tx,0.030750824071299917
median_tx_value,0.029448958876554132
distinct_active_days,0.022192143861633592
burstiness,0.021744107631369722
unique_receivers,0.0192635602880654
zero_value_tx_ratio,0.019165472267694283
outgoing_tx_count,0.018552895138131544
activity_span_days,0.01816302183601785
external_tx_ratio,0.01696177473885242
unique_counterparties,0.015824531362864387
internal_tx_ratio,0.01531697766561689
unique_senders,0.013985086533486686
