type,samples,detected,missed,recall,avg_risk_probability
laundering_via_mixer,9,9,0,1.0,0.9566666666666666
sanctioned,14,8,6,0.5714285714285714,0.6328571428571428
phishing,8,4,4,0.5,0.5404166666666667
